,pred
211,544524.79
212,681615.98
213,399028.7675
214,754554.35
215,211490.15
216,1855725.0
217,344923.13
218,546521.5
219,1007879.48
220,727701.18
221,839581.27
222,536584.32
223,989285.17
224,504018.25
225,471452.79
226,777210.32
227,946117.77
228,530849.52
229,2737765.15
230,584922.74
231,388626.4
232,507834.26
233,1057242.6666666667
234,766488.45
235,2587581.55
236,524170.18
237,1592965.03
238,399378.94
239,576790.73
240,317157.98
241,598461.91
242,1569238.88
243,388045.68
244,773605.4
245,2510497.45
246,1119475.0
247,385200.53
248,455181.49
249,1970503.55
250,836985.0
251,1700601.43
252,308866.05999999994
253,3140689.32
254,648437.17
255,707860.0
256,960503.14
257,375259.46
258,520050.0
259,1172237.02
260,786900.61
261,586840.0
262,340667.62
263,473257.57
264,1069695.39
265,456242.42
266,2615609.78
267,1298665.18
268,639910.0
269,817621.0
270,604038.47
271,743258.2
272,444946.22
273,745805.6740000001
274,339392.39016666665
275,347169.98
276,589366.87
277,522550.0
278,110852.80000000002
279,438595.56
280,601148.77
281,847876.22
282,1945035.76
283,1042981.24
284,364146.2
285,277255.0
286,977419.68
287,485258.56
288,2059318.34
289,277220.5
290,758167.09
291,2149255.72
292,940900.0266666666
293,895929.0
294,732295.49
295,845351.04
296,339268.66
297,369264.48
298,805455.05
299,2196312.97
300,441895.83
301,891637.29
302,586689.81
303,2038552.77
304,504298.94
305,1164806.37
306,1308294.02
307,830316.75
308,848260.25
309,496056.99
310,1064926.9
311,297478.8
312,1192375.06
313,883688.6566666666
314,1665339.32
315,2529422.72
316,1067596.5666666667
317,838966.88
318,530867.33
319,843132.52
320,449638.27
321,609665.97
322,356410.0
323,316369.26666666666
324,638086.99
325,314240.0
326,744922.5
327,1827851.3
328,501308.28
329,1542440.25
330,971184.54
331,558216.56
332,664220.0
333,3806126.04
334,652975.0
335,488869.14
336,1138061.69
337,925572.655
338,1298221.07
339,409493.0
340,368331.85
341,1583484.85
342,855301.57
343,582785.19
344,449693.24
345,607834.41
346,1099086.0566666666
347,543026.8375
348,982564.77
349,720650.0
350,763628.88
351,481244.08
352,811740.0
353,888185.7
354,393419.65
355,202505.0
356,515727.9
357,255635.0
358,3535765.4
359,363224.62
360,748457.09
361,687405.13
362,504071.66666666674
363,766242.33
364,740930.96
365,1636774.58
366,1274290.55
367,2098186.92
368,819828.81
369,1351309.46
370,370516.45
371,632361.47
372,1581065.56
373,288410.7866666666
374,908374.19
375,483688.9
376,342369.14
377,767616.4
378,141437.93
379,762856.36
380,310295.89
381,676350.0
382,468937.42
383,1453932.91
384,2439826.98
385,869987.83
386,770873.68
387,3203873.0
388,231300.0
389,320632.26
390,576261.24
391,1197480.22
392,357383.52
393,244490.96666666667
394,335839.17
395,1720166.46
396,327092.72
397,189575.0
398,524413.17
399,363065.63
400,364103.85
401,743424.635
402,1013492.4
403,689409.41
404,504373.39
405,1149807.47
406,2148157.22
407,1107310.09
408,558289.46
409,687524.69
410,645268.06
411,3398153.72
412,520305.02
413,671079.38
414,637112.74
415,1221220.0
416,651237.38
417,1500753.15
418,1444518.12
419,612912.99
420,830498.52
421,1528162.68
422,321137.9
423,773748.53
424,1291978.09
425,737929.6
426,1493705.15
427,628749.47
428,1568156.61
429,1147621.13
430,944075.66
431,412369.84
432,733917.25
433,301993.36
434,2505784.4
435,508748.69
436,827332.0
437,1018029.3733333334
438,550974.79
439,800343.35
440,353869.85
441,179208.33333333337
442,471787.72
443,457538.54
444,1510690.0
445,176237.84
446,335544.5
447,780120.27
448,327803.33
449,697065.52
450,2430493.26
451,1144678.85
452,181585.0
453,1082992.23
454,585921.71
455,508134.14
456,1301514.91
457,517653.0
458,641521.85
459,398082.97
460,806665.62
461,1196708.52
462,923340.0
463,600868.0
464,330405.69
465,351334.91
466,978769.49
467,763514.2
468,467784.23
469,468145.72
470,642757.53
471,744683.41
472,357277.85
473,682730.88
474,565998.86
475,1537778.85
476,510729.3
477,264826.48
478,193439.5
479,442703.12
480,2823571.58
481,737685.13
482,431844.1
483,1791246.84
484,1563415.8
485,149625.0
486,1233620.92
487,1163006.23
488,344737.8
489,1995567.97
490,781231.9033333333
491,733239.34
492,2182500.0
493,850529.53
494,840705.6
495,734808.3866666666
496,712884.15
497,1340046.53
498,313563.54
499,534080.66
500,269732.94
501,1237040.02
502,1356980.0
503,515333.5
504,1763714.35
505,407501.8
506,152880.3
507,750405.0
508,564945.0
509,734992.3
510,149713.1
511,516013.41
512,791214.99
513,1073825.09
514,557018.44
515,1024762.6006666666
516,924564.24
517,276039.52
518,383062.34
519,523683.79
520,377515.2
521,192548.98
522,1248581.09
523,176420.0
524,750913.13
525,1187137.98
526,331619.74
527,1334480.0
528,504523.34
529,378470.53
530,757939.22
531,327092.72
532,715080.6
533,548420.0
534,259005.0
535,386126.35
536,801941.7
537,1239754.5
538,1234572.99
539,476609.06
540,489632.62
541,1768349.33
542,590191.94
543,436251.58
544,993201.22
545,2710841.91
546,571201.43
547,1040890.33
548,935772.55
549,726787.2
550,673680.63
551,757396.3620000001
552,1084063.0
553,1570934.91
554,503500.8333333334
555,1176846.93
556,530602.03
557,512919.28
558,347724.44
559,438862.1
560,158915.0
561,791671.41
562,425246.3
563,869065.68
564,541762.92
565,1353852.76
566,230698.96
567,458835.19
568,493838.72
569,685667.5
570,488367.49
571,418797.39
572,368941.82
573,1071260.0
574,408445.61
575,290003.99
576,618033.8
577,368153.81
578,331185.0
579,2395476.76
580,331631.72
581,2339102.41
582,2076175.88
583,391365.0
584,750832.84
585,717048.82
586,561712.88
587,471104.19
588,534750.44
589,569672.75
590,2376591.52
591,2171365.46
592,748369.92
593,509876.2
594,510910.17
595,258885.4816666667
596,558366.28
597,1474107.98
598,831885.95
599,1012627.43
600,728430.32
601,2147793.65
602,1591730.45
603,1175281.5
604,690220.9533333335
605,846350.0
606,559523.09
607,721871.99
608,601928.0
609,1844114.75
610,992117.57
611,1080775.42
612,663233.99
613,203110.0
614,1746229.02
615,1197786.57
616,463588.5
617,265380.65
618,491301.85
619,1238661.73
620,743347.5
621,294187.68333333335
622,2002450.0
623,1624043.28
624,340527.4
625,573745.61
626,1968795.78
627,1025915.96
628,790831.6666666665
629,1153810.09
630,373254.39
631,535797.66
632,1214489.17
633,409574.6
634,861894.0
635,1696875.5
636,1238435.0
637,2447568.52
638,780888.0
639,1158408.32
640,523124.58
641,400377.74
642,733402.19
643,1052047.98
644,251999.52
645,605294.5
646,275004.376
647,775974.29
648,691829.66
649,518362.23
650,583968.6666666666
651,903530.0
652,947725.88
653,946585.23
654,449503.98
655,473613.61333333334
656,799390.52
657,1068934.18
658,415452.65
659,326917.09
660,742098.93
661,727893.25
662,765935.26
663,816487.49
664,342484.98
665,147461.46333333332
666,888150.74
667,1064924.0
668,2954679.19
669,2670252.15
670,126085.0
671,1617956.84
672,1099119.83
673,425222.04
674,545982.23
675,922621.05
676,2056507.0
677,295216.98
678,129228.47
679,222534.0
680,1023940.67
681,710661.2666666666
682,254231.17123809527
683,260165.0
684,362475.55
685,424411.15
686,463787.69
687,527282.84
688,163610.2
689,1823193.69
690,828226.5
691,775454.04
692,1399963.02
693,980135.0
694,821766.5
695,1319017.54
696,796528.76
697,1994436.31
698,969675.52
699,1011844.5
700,1018278.7733333333
701,1324675.52
702,209896.22
703,427207.99
704,183925.01
705,525431.26
706,948793.94
707,512373.46
708,523653.02
709,383350.87
710,1577902.95
711,435732.02
712,1011618.5
713,318066.885
714,812769.77
715,443217.76
716,355379.6
717,2310103.2914285716
718,1452133.18
719,618327.25
720,272820.57
721,855935.43
722,895713.4733333334
723,3283259.94
724,233980.4
725,879238.59
726,537708.1
727,444772.03
728,690485.99
729,961714.65
730,472152.86
731,492979.9
732,1159596.88
733,254536.25
734,497821.04
735,412402.0
736,2593000.0
737,300577.22
738,656085.0
739,775088.71
740,1004286.84
741,2097820.36
742,476630.0
743,714773.0
744,2561377.2
745,724417.98
746,517822.8
747,1969759.08
748,516703.79
749,1762063.79
750,508530.0
751,700270.0
752,1821543.0
753,369239.3
754,1234984.22
755,606309.75
756,622195.53
757,539063.28
758,559784.28
759,1530568.6
760,837790.37
761,2547437.74
762,2300138.34
763,1427228.65
764,538675.12
765,413221.5
766,462769.71
767,685227.51
768,639930.99
769,1006989.86
770,357656.1
771,419666.0
772,405991.5
773,432738.83
774,843310.69
775,1001852.76
776,1857593.43
777,461720.25
778,3442710.0
779,603442.5
780,1941040.61
781,678369.05
782,243542.2
783,148487.43
784,391139.59
785,1132553.59
786,297866.72
787,276274.0
788,1247409.45
789,413851.43
790,630510.84
791,1684403.0
792,322502.71
793,1190659.56
794,624860.0
795,375304.61
796,987573.0
797,783709.95
798,1366114.25
799,3775047.9
800,143865.0
801,893767.14
802,591410.78
803,1032338.0
804,667578.16
805,433156.19
806,817840.0
807,510082.37
808,289897.0
809,290895.0
810,205130.0
811,1076092.23
812,3164178.15
813,837677.92
814,813419.65
815,281769.51166666666
816,1162880.0
817,704804.41
818,1309447.0
819,469578.01
820,1044030.66
821,690252.22
822,677627.45
823,857685.76
824,632100.72
825,1312243.84
826,265712.9866666667
827,847336.66
828,990015.83
829,504347.78
830,719239.71
831,344950.0
832,292456.95
833,265104.51
834,800504.65
835,225930.0
836,1326304.55
837,207945.99
838,740066.0233333334
839,790713.8
840,285670.0
841,201493.66
842,889302.2
843,760315.0
844,899665.22
845,613844.42
846,440433.35
847,3301789.57
848,1002323.74
849,424543.23
850,839113.09
851,459880.97
852,447933.75
853,696551.2533333333
854,829323.96
855,512761.11
856,407679.57
857,267348.76
858,173687.65
859,170539.52
860,425135.4933333333
861,1467116.22
862,906463.85
863,812700.0
864,607230.62
865,695480.65
866,600161.29
867,990266.92
868,1970069.79
869,1049133.72
870,553116.98
871,153335.0
872,543117.57
873,435331.7
874,968738.59
875,646912.06
876,470375.09
877,337902.57
878,1547057.73
879,312672.86
880,815217.2
881,359866.22333333327
882,665735.09
883,2105563.95
884,1148866.65
885,1071279.6
886,1251165.0
887,908590.0
888,1253008.51
889,1143817.3966666667
890,1065745.4
891,468649.04
892,744950.95
893,249069.02
894,1041687.32
895,834900.0
896,1010672.85
897,342231.48
898,961380.9
899,1602504.79
900,890678.12
901,1089800.6666666667
902,719942.58
903,419440.28
904,1494141.61
905,802848.43
906,207634.88
907,1198926.0
908,531568.92
909,493126.14
910,476134.09
911,1068315.49
912,946888.09
913,574006.2
914,739840.0
915,289503.5683333333
916,687809.14
917,499563.38
918,776202.96
919,920926.61
920,451632.36
921,479476.06
922,1265331.33
923,1698854.32
924,2199812.74
925,1971460.6
926,658672.88
927,640503.13
928,1544032.33
929,400695.21
930,504279.28
931,1395818.91
932,403879.37
933,720825.0
934,656142.5
935,1008243.51
936,1740877.44
937,604970.17
938,1308935.07
939,641832.5
940,1263960.7366666666
941,510237.36
942,500144.23
943,1022662.54
944,940535.79
945,517511.43
946,601164.91
947,1318551.37
948,1026137.7
949,400233.22
950,746118.92
951,1377352.64
952,420084.73
953,827693.71
954,759900.43
955,1133012.36
956,363275.78
957,1836322.7
958,385542.11
959,285794.7533333333
960,1014739.08
961,154988.98
962,1752495.24
963,408804.31
964,840382.0
965,153585.83
966,1390083.6
967,602025.44
968,1133929.0
969,1261476.44
970,972148.39
971,475327.47
972,410397.0
973,407005.0
974,443788.8
975,1174101.63
976,520065.0
977,646243.34
978,317504.92
979,342678.0
980,1580728.73
981,1554048.44
982,514937.43
983,379465.76
984,799559.5
985,646107.32
986,323326.05
987,762475.0
988,3115978.94
989,1176344.7
990,2109470.55
991,2431594.99
992,392298.65
993,894176.56
994,574402.62
995,2594788.36
996,975379.2
997,545103.6666666666
998,2635726.9333333336
999,285400.0
1000,877975.0
1001,1105790.43
1002,449625.0
1003,2756854.56
1004,804637.5
1005,1688380.66
1006,182255.17
1007,538961.55
1008,455309.91
1009,892614.75
1010,1135110.99
1011,694048.45
1012,732758.42
1013,775019.56
1014,635043.61
1015,322166.52
1016,580134.0
1017,327050.11
1018,692491.4
1019,236536.4
1020,330245.0
1021,1009375.2866666666
1022,667404.94
1023,262610.5
1024,141260.0
1025,875228.88
1026,605368.85
1027,274461.04
1028,2309226.99
1029,676935.9
1030,453113.97
1031,818022.0233333333
1032,201843.56
1033,443845.7
1034,2965134.02
1035,868493.88
1036,606918.71
1037,239389.09666666665
1038,1236207.57
1039,186575.0
1040,919905.0
1041,403003.98
1042,426505.45
1043,184221.30952380956
1044,893245.27
1045,460467.93
1046,1494129.5766666667
1047,1193300.92
1048,1452188.28
1049,478896.69
1050,1370955.0
1051,633326.43
1052,355299.23
1053,501065.25
1054,630920.25
1055,614680.52
1056,755652.73
1057,1164216.21
1058,435051.6
1059,557072.98
1060,352352.1
1061,612510.01
1062,2008146.54
1063,649140.98
1064,508077.3
1065,1091955.0
1066,2026256.3333333335
1067,2580692.7
1068,1174675.0
1069,1227902.3
1070,513121.25
1071,586975.16
1072,2381416.18
1073,542895.77
1074,383615.83
1075,247928.98
1076,919699.54
1077,196420.0
1078,1184112.99
1079,1433657.99
1080,494325.0
1081,438602.48
1082,526717.5
1083,274499.94
1084,299573.62
1085,265804.4
1086,124741.66
1087,399709.68
1088,671074.6
1089,1102943.47
1090,601360.31
1091,422943.54
1092,504808.93
1093,710203.605
1094,426013.59
1095,1679048.08
1096,543762.29
1097,1942136.4
1098,995456.15
1099,385072.56
1100,1989011.93
1101,354312.37
1102,626435.46
1103,1036622.4899999999
1104,485428.02
1105,667115.0
1106,639182.06
1107,1340381.09
1108,1341310.0
1109,2413431.79
1110,962092.06
1111,590560.9
1112,540422.82
1113,168488.2
1114,296282.44666666666
1115,208712.42
1116,807949.78
1117,486644.62
1118,1045118.82
1119,566984.98
1120,155970.0
1121,445726.31
1122,566205.33
1123,303020.0
1124,374645.15
1125,4048467.73
1126,322613.82
1127,572814.08
1128,312285.0
1129,796576.745
1130,1506106.94
1131,699473.08
1132,311182.4
1133,1039614.39
1134,504435.03
1135,302651.1
1136,658996.94
1137,227215.0
1138,426293.68
1139,2729165.81
1140,157282.49666666667
1141,409226.78
1142,1709996.99
1143,790573.2
1144,798280.0
1145,141520.0
1146,437513.4
1147,575322.14
1148,971184.54
1149,506781.68
1150,148435.27
1151,173460.0
1152,807753.28
1153,974550.0
1154,1433291.0
1155,402475.64
1156,812166.74
1157,700899.64
1158,492977.59
1159,427165.23
1160,692706.8
1161,415440.22
1162,572989.07
1163,963287.306
1164,812499.0
1165,308718.99
1166,765327.11
1167,193468.32
1168,2083430.18
1169,2107891.28
1170,1799636.32
1171,667610.0
1172,697300.72
1173,537286.05
1174,1005122.855
1175,1743194.64
1176,391779.48
1177,1101733.59
1178,499550.55
1179,2232181.32
1180,3025682.97
1181,1095128.0
1182,304811.08
1183,353425.1
1184,284269.9
1185,579532.66
1186,1690050.0
1187,452263.39
1188,320626.99
1189,452817.74
1190,402582.41
1191,555390.31
1192,825780.0758333333
1193,1066253.12
1194,225682.5
1195,431613.73
1196,885599.62
1197,277698.16
1198,1609367.0
1199,803681.53
1200,271295.0
1201,431824.61
1202,352498.61
1203,2468874.65
1204,442290.87
1205,552073.15
1206,1580044.2633333334
1207,458396.23666666663
1208,382482.24
1209,860437.5
1210,521252.76
1211,536923.46
1212,535120.0
1213,1323949.8
1214,220683.1
1215,480554.86
1216,439164.1
1217,531614.1
1218,1466667.01
1219,581139.83
1220,2285886.98
1221,716829.16
1222,477867.63
1223,572317.81
1224,317418.26666666666
1225,2245453.88
1226,764810.92
1227,2206737.71
1228,662671.22
1229,427170.75
1230,762932.86
1231,1192305.05
1232,1130884.47
1233,1156850.82
1234,921323.55
1235,620098.79
1236,828819.4642857143
1237,4150533.1
1238,468674.54
1239,263173.9
1240,599161.0
1241,551651.51
1242,912685.42
1243,622713.38
1244,149555.0
1245,233728.45
1246,390821.14
1247,2024597.47
1248,352102.0
1249,1236300.18
1250,473890.8
1251,381516.29
1252,612629.52
1253,474946.1
1254,2560511.45
1255,345658.87
1256,661530.89
1257,377621.12
1258,636747.82
1259,300309.62
1260,762732.36
1261,2513880.97
1262,871064.72
1263,1057026.82
1264,237430.81666666665
1265,503803.9
1266,403976.33
1267,754869.64
1268,488045.6
1269,510346.18
1270,174615.17
1271,1127200.09
1272,795878.87
1273,942188.26
1274,359822.36
1275,919416.1
1276,653455.73
1277,836777.0
1278,443506.73
1279,640563.45
1280,828467.28
1281,814105.14
1282,473785.4
1283,723233.54
1284,825877.47
1285,258913.47333333336
1286,1108509.13
1287,355394.0
1288,1419238.93
1289,484080.66
1290,1428329.72
1291,683428.82
1292,424274.8
1293,195145.0
1294,532933.6
1295,1483135.0
1296,453986.95
1297,2659633.13
1298,410035.72
1299,1037067.0
1300,246785.0
1301,1201873.84
1302,731367.67
1303,447030.57
1304,415744.46
1305,1062385.72
1306,425800.72
1307,1053302.77
1308,436020.47
1309,326859.0
1310,237201.37
1311,1794876.69
1312,1622691.15
1313,697126.95
1314,1080376.7
1315,1324438.54
1316,491274.8
1317,441533.26
1318,500934.82
1319,756541.98
1320,845346.3
1321,1019968.1
1322,970639.31
1323,670274.7
1324,562133.7
1325,482697.56
1326,321629.17
1327,2364677.97
1328,506882.57
1329,338628.0
1330,706618.4
1331,1706019.29
1332,649739.52
1333,513446.55
1334,335034.96
1335,1369023.88
1336,163300.0
1337,177893.24
1338,1681859.4
1339,794872.22
1340,760828.04
1341,2227049.14
1342,251375.0
1343,164830.0
1344,573590.78
1345,1668090.33
1346,1072701.4
1347,686428.82
1348,1349042.34
1349,695945.0
1350,352989.25
1351,561201.4
1352,646220.0
1353,1097949.96
1354,461007.29
1355,962365.91
1356,410084.1
1357,756861.87
1358,531267.5
1359,598218.2
1360,296282.44666666666
1361,288680.45
1362,405438.9
1363,935640.71
1364,393471.65
1365,715145.08
1366,1450022.46
1367,1731738.02
1368,447090.64
1369,586860.98
1370,884111.01
1371,1307791.5
1372,453143.36
1373,976928.14
1374,511242.04
1375,3738444.28
1376,1497776.98
1377,257403.76
1378,628088.08
1379,723234.95
1380,1020943.48
1381,485938.31
1382,121012.91
1383,1610184.79
1384,556455.27
1385,1107974.32
1386,1631774.69
1387,1267072.97
1388,1902061.29
1389,755785.0
1390,639006.8
1391,1018998.3333333333
1392,135584.52
1393,514382.33
1394,1622269.4
1395,133112.29
1396,1458369.26
1397,506281.05
1398,510177.98
1399,279548.7133333333
1400,643614.92
1401,1476431.2
1402,622992.5133333333
1403,2008729.0
1404,1317527.5
1405,1283391.37
1406,480671.74
1407,1319732.46
1408,246572.22
1409,756703.77
1410,383273.3
1411,507960.17
1412,940360.88
1413,872567.7133333334
1414,1605753.37
1415,179840.0
1416,299479.16
1417,509915.02
1418,815826.48
1419,733063.64
1420,2334561.52
1421,1344892.78
1422,355012.5
1423,467685.17
1424,748148.54
1425,558255.0
1426,832636.24
1427,2075759.99
1428,363443.94
1429,746723.52
1430,253571.6666666667
1431,457185.74
1432,255254.09
1433,241470.47
1434,1152726.2
1435,528088.78
1436,2104025.43
1437,2476170.41
1438,506937.92
1439,1859379.56
1440,1613936.79
1441,439885.8333333334
1442,1425014.02
1443,1066910.0
1444,1010590.63
1445,1020565.82
1446,963170.0
1447,1024993.84
1448,1220218.48
1449,384942.87
1450,1230009.99
1451,261149.25
1452,963524.76
1453,3871005.39
1454,719011.99
1455,648084.71
1456,1617071.25
1457,279572.51
1458,409142.82
1459,804578.88
1460,1492830.52
1461,1448131.5
1462,348385.42
1463,280146.61
1464,810543.7
1465,1141310.71
1466,1039873.96
1467,489906.81
1468,466583.72
1469,2826633.5
1470,678264.9
1471,449315.88
1472,2211434.78
1473,321480.0
1474,510947.06
1475,1501397.01
1476,757115.68
1477,1310106.91
1478,503835.2
1479,1134638.88
1480,562851.78
1481,719743.32
1482,680741.22
1483,703365.45
1484,437859.71
1485,2479258.77
1486,564700.01
1487,510054.83
1488,1121440.14
1489,317270.0
1490,1157376.11
1491,437729.42
1492,922605.72
1493,226273.0
1494,406361.6
1495,835502.5
1496,1227193.91
1497,466800.7
1498,823662.0
1499,405855.96
1500,4360545.12
1501,649335.47
1502,217713.88
1503,662719.7125
1504,381351.1
1505,521580.0
1506,229449.3
1507,1065525.5966666667
1508,541005.0
1509,1067997.87
1510,1407413.72
1511,566992.28
1512,2445346.38
1513,609786.86
1514,1564233.62
1515,534560.6
1516,179473.0
1517,2215715.92
1518,166851.42
1519,753093.76
1520,1383071.01
1521,290992.1
1522,397487.04
1523,1189138.1383333334
1524,799961.2
1525,611310.16
1526,427779.98
1527,2281837.91
1528,841103.48
1529,350739.91
1530,614390.0
1531,731284.97
1532,1339240.82
1533,558690.8
1534,284034.25
1535,437680.21
1536,349968.1
1537,1046963.5
1538,1383442.82
1539,1379163.21
1540,2262483.33
1541,532729.78
1542,1361684.65
1543,1053089.6666666665
1544,455021.6
1545,1196479.64
1546,1301987.99
1547,927450.87
1548,563646.98
1549,1232173.7
1550,1186972.6133333333
1551,666136.37
1552,229704.5
1553,463379.3
1554,505754.82
1555,626322.7
1556,195183.86
1557,1081707.1516666666
1558,693078.69
1559,1321429.05
1560,549280.7
1561,664774.9
1562,1246076.65
1563,1555022.87
1564,630997.65
1565,1465487.23
1566,641904.4
1567,1435748.3
1568,1512325.0
1569,835016.31
1570,730231.49
1571,891499.93
1572,412103.55
1573,653419.99
1574,245339.23
1575,197100.0
1576,1002168.0
1577,189072.5
1578,508520.0
1579,623113.59
1580,411478.64
1581,640849.66
1582,1683606.94
1583,785200.0
1584,1386051.53
1585,394151.62
1586,793589.53
1587,739960.71
1588,321427.1
1589,979693.42
1590,443218.74
1591,199410.78
1592,304355.79
1593,556432.62
1594,723481.97
1595,199730.0
1596,1212745.33
1597,869699.82
1598,542064.7
1599,1112962.76
1600,866814.91
1601,804026.88
1602,1229845.0
1603,1205403.22
1604,743575.0
1605,1020640.75
1606,1076874.36
1607,536143.67
1608,3005901.1
1609,1459043.72
1610,806610.89
1611,1694463.37
1612,225515.0
1613,2747448.83
1614,2449088.38
1615,149360.0
1616,692070.08
1617,1149276.8333333333
1618,601984.32
1619,592749.62
1620,597321.95
1621,773953.14
1622,333511.33
1623,877314.4
1624,298762.34
1625,698960.0
1626,494268.05
1627,1121663.88
1628,419909.05
1629,338660.94
1630,2107520.39
1631,179630.64
1632,414359.61
1633,536180.49
1634,729227.31
1635,325830.87
1636,571759.5
1637,1603708.31
1638,857922.52
1639,960846.5833333333
1640,200318.8
1641,475968.2
1642,608232.75
1643,356252.06
1644,564846.75
1645,428777.28
1646,340299.11
1647,465384.82
1648,511025.4
1649,1371946.98
1650,333420.0
1651,730351.48
1652,961658.46
1653,1974255.14
1654,131971.62
1655,1053636.99
1656,806963.5
1657,1466847.3
1658,467819.98
1659,1217482.17
1660,2581378.8
1661,1560647.44
1662,419666.0
1663,698155.44
1664,725645.49
1665,339557.0
1666,499645.56
1667,1821430.93
1668,264519.0
1669,288234.94
1670,534790.55
1671,712165.0
1672,754771.06
1673,536922.51
1674,1086572.24
1675,1169096.83
1676,459189.83
1677,890560.29
1678,427575.68
1679,453112.98
1680,445808.86
1681,1073220.0
1682,1462258.4
1683,520913.2
1684,638694.3
1685,470899.0
1686,399003.28
1687,290950.25683333335
1688,159913.1
1689,270351.95
1690,466287.75
1691,1051564.1666666665
1692,764452.53
1693,185932.2
1694,547174.89
1695,1045639.16
1696,1549721.5814285716
1697,734227.1
1698,1041102.5
1699,912681.15
1700,304282.33
1701,602585.0
1702,618334.14
1703,1071141.83
1704,363194.8
1705,1520548.36
1706,1770978.06
1707,294838.53
1708,1276284.01
1709,434044.53
1710,268734.76
1711,289330.0
1712,270132.34
1713,605967.75
1714,162805.21
1715,1187782.01
1716,1259746.25
1717,961629.15
1718,986737.98
1719,916470.93
1720,1636522.99
1721,401881.06
1722,477911.59
1723,3075097.19
1724,620105.23
1725,1031695.0
1726,492980.64
1727,1006483.755
1728,306764.0
1729,1446120.0
1730,167135.39
1731,499713.4
1732,2370425.0
1733,1012792.34
1734,961410.1
1735,2160650.66
1736,1565710.86
1737,2237311.63
1738,1856753.09
1739,248331.86
1740,602504.78
1741,2865833.25
1742,1398260.0
1743,1586329.7
1744,729318.39
1745,672288.55
1746,1217132.42
1747,1836895.0
1748,572772.65
1749,1122755.85
1750,291736.7
1751,932115.0
1752,809133.76
1753,2297777.53
1754,470104.41
1755,956383.95
1756,1703753.89
1757,504119.95
1758,655027.73
1759,2200275.0
1760,1024196.37
1761,1127210.05
1762,716661.64
1763,520060.6
1764,894554.55
1765,1375350.19
1766,146712.76
1767,649000.0
1768,693276.49
1769,3267288.62
1770,1344403.66
1771,311381.54
1772,860516.88
1773,2376810.79
1774,772415.75
1775,1632510.6
1776,1923585.46
